symbol,base,quote,exchange,type,active
GIGA/USD,GIGA,USD,kraken,spot,True
GLMR/EUR,GLMR,EUR,kraken,spot,True
GLMR/USD,GLMR,USD,kraken,spot,True
GMT/EUR,GMT,EUR,kraken,spot,True
GMT/USD,GMT,USD,kraken,spot,True
GMX/EUR,GMX,EUR,kraken,spot,True
GMX/USD,GMX,USD,kraken,spot,True
GNO/EUR,GNO,EUR,kraken,spot,True
GNO/USD,GNO,USD,kraken,spot,True
GOAT/EUR,GOAT,EUR,kraken,spot,True
GOAT/USD,GOAT,USD,kraken,spot,True
GOMINING/EUR,GOMINING,EUR,kraken,spot,True
GOMINING/USD,GOMINING,USD,kraken,spot,True
GRASS/EUR,GRASS,EUR,kraken,spot,True
GRASS/USD,GRASS,USD,kraken,spot,True
GRIFFAIN/EUR,GRIFFAIN,EUR,kraken,spot,True
GRIFFAIN/USD,GRIFFAIN,USD,kraken,spot,True
GRT/EUR,GRT,EUR,kraken,spot,True
GRT/GBP,GRT,GBP,kraken,spot,True
GRT/USD,GRT,USD,kraken,spot,True
GRT/BTC,GRT,BTC,kraken,spot,True
GST/EUR,GST,EUR,kraken,spot,True
GST/USD,GST,USD,kraken,spot,True
